name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Mikael Dental,"7317-7318, opposite Fauji Dhaba, Aram Nagar, Paharganj, New Delhi, Delhi, 110055",mikaeldental.in,099109 44124,,4.9,28.6186868,77.1207208
Smile dental care,"Bada, 69- C, Gurudwara Rd, Gautam Nagar, New Delhi, Delhi 110049",eka.care,099105 04444,,4.9,28.6186868,77.1207208
Dental Avenue Clinic | Dr. Gaurav Gupta | Dentist in New Delhi,"Ground Floor, C-194, Block C, Nirman Vihar, Preet Vihar, Delhi, 110092",dentalavenueclinicdelhi.com,099536 16146,,5.0,28.6186868,77.1207208
North Delhi Dental Clinic,"F 14/4, Model Town Phase 2, Pocket E, Phase 2, Model Town, New Delhi, Delhi, 110033",northdelhidentalclinic.com,098106 35405,,4.8,28.706862,77.0458196
GEETANJALI DENTAL OPTIONS Dental clinic south Delhi,"B17 Ground floor,Geetanjali Enclave,Malviya Nagar Main Panchsheel Shivalik, Best Dentist Implantologist Root Canal Specialist, Geetanjali Marg, opposite MMTC Road, Market, Delhi 110017",geetanjalidental.in,098100 15577,,4.9,28.5321231,77.0584651
𝐀𝐫𝐨𝐫𝐚'𝐬 𝐃𝐞𝐧𝐭𝐚𝐥 𝐂𝐥𝐢𝐧𝐢𝐜,"Res-cum-Clinic, A-10, near Invitation Restaurant, Ashok Vihar II, Phase 2, Ashok Vihar, New Delhi, Delhi, 110052",aroradentistindelhi.in,099111 13357,,4.8,28.6968893,77.0349254
Delhi Dental Cosmetics,"2413 Basement, Hudson Ln, Kingsway Camp, GTB Nagar, Delhi, 110033",delhidentalcosmetics.com,095605 53331,,4.9,28.6968893,77.0349254
Pearl White Dental Clinic (On Cghs Panel) Multispeciality &Implant centre,"Shop no 128, near Palika Suvidha Kendra In Front Ajay Travels, Bhagat Singh Market, Gole Market, New Delhi, Delhi 110001",,083680 20394,,4.6,28.6968893,77.0349254
𝗧𝗲𝗲𝘁𝗵 𝗮𝗻𝗱 𝗠𝗼𝗿𝗲 : 𝗕𝗲𝘀𝘁 𝗗𝗲𝗻𝘁𝗶𝘀𝘁 𝐢𝐧 𝗦𝗮𝗳𝗱𝗮𝗿𝗷𝘂𝗻𝗴 𝗘𝗻𝗰𝗹𝗮𝘃𝗲 𝐒𝐨𝐮𝐭𝐡 𝗗𝗲𝗹𝗵𝗶 | 𝗗𝗲𝗻𝘁𝗮𝗹 𝗰𝗹𝗶𝗻𝗶𝗰 𝗶𝗻 𝗦𝗮𝗳𝗱𝗮𝗿𝗷𝘂𝗻𝗴 𝗘𝗻𝗰𝗹𝗮𝘃𝗲 𝐒𝐨𝐮𝐭𝐡 𝗗𝗲𝗹𝗵𝗶,"Teeth & More, A2/25, नौरोजी नगर मार्ग, Block A 2, Safdarjung Enclave, New Delhi, Delhi 110029",delhidentistspa.com,099904 91199,,4.7,28.566432,77.0473033
Delhi Dental Hub,"Teeth & More, A2/25, नौरोजी नगर मार्ग, Block A 2, Safdarjung Enclave, New Delhi, Delhi 110029",delhidentistspa.com,099904 91199,,4.7,28.566432,77.0473033
Advanced Dental Clinic East Delhi,"C-188, Block C, Vivek Vihar Phase I, Vivek Vihar, New Delhi, Delhi, 110095",theadvancedental.com,095991 73134,,5.0,28.6692643,77.1701108
Smile Delhi - The Dental Clinic,"D-1065, Block D, Friends Colony East, New Friends Colony, New Delhi, Delhi 110065",dentalclinicdelhi.com,098111 06377,,4.9,28.6692643,77.1701108
Crown And Roots Dental Clinic,"3 (Basement, L 1, South Extension II, Block L, South Delhi, New Delhi, Delhi 110049",crownandroots.com,098219 99447,,4.9,28.5666972,77.0799191
